i,j,k,l,x,y,cost
0,0,0,0,-3.7369251394862446,5.006504320993506,39.02969501425093
1,0,0,0,4.419464488082883,1.0607449253408379,20.656846158062038
2,0,0,0,-1.5991958925128695,-3.7836016610472574,16.873069032109598
3,0,0,0,2.429573369944749,-0.622542341331439,6.290385726695114
4,0,0,0,4.07376894491941,0.04049848070508133,16.59723354352922
5,0,0,0,-4.91329382078453,4.185949997971652,41.66263355487831
6,0,0,0,1.1960152653239313,-4.76058844711301,24.093654877673735
7,0,0,0,-2.3873001720309817,3.1641901955311194,15.711301704874417
8,0,0,0,1.1324135386522376,4.639301669815788,22.80548040607844
9,0,0,0,-4.849090456510957,-3.948980349936956,39.10812405961385
0,1,0,0,-3.878479567518778,4.725279603427745,37.37087108623091
1,1,0,0,4.24909071470091,1.530179358303115,20.39622077033442
2,1,0,0,-1.5156652482130237,-3.7961107333576276,16.707697844553632
3,1,0,0,2.083080494613694,-0.3099942722598644,4.435320795873954
4,1,0,0,4.064087042622025,0.05302027490255204,16.519614639558977
5,1,0,0,-4.738008964110264,4.271879520300976,40.69768357995612
6,1,0,0,0.9646785100834476,-4.567965073762854,21.79690954293409
7,1,0,0,-2.351429950660916,3.0107773659087727,14.594003159933767
8,1,0,0,1.2473367516473872,4.328534136253347,20.292056740720763
9,1,0,0,-4.382955204601579,-3.9530740243632465,34.83709056763951
0,2,0,0,-3.6121488683853378,4.952569523248313,37.5755643299855
1,2,0,0,3.979136047715551,1.8674993581566819,19.321077538944955
2,2,0,0,-1.553862533617332,-3.7997237451644392,16.852389312946148
3,2,0,0,1.783066482744512,-0.31462639523740377,3.278315850466968
4,2,0,0,3.920674808942165,0.057788974935900614,15.375030523097822
5,2,0,0,-4.42835181157626,4.426692722746603,39.20590822870847
6,2,0,0,0.8302160073106045,-4.5643157958567775,21.522237303102447
7,2,0,0,-2.0395421375084504,2.860049675925513,12.339616279434171
8,2,0,0,1.2449296987326208,4.158081821109128,18.8394943858247
9,2,0,0,-4.009018994342262,-3.6226923339413135,29.1961330433942
0,3,0,0,-3.599516150167228,4.971933434229009,37.67663858971897
1,3,0,0,3.6441117711660453,1.689391246987403,16.133593386148586
2,3,0,0,-1.6088784917611632,-3.776312815078372,16.849028478576813
3,3,0,0,1.7303499818800023,-0.23162383228175942,3.047760659473013
4,3,0,0,3.566906418787042,0.4105662720328317,12.891386064115137
5,3,0,0,-4.437699220488862,4.4121101014642585,39.15988991897041
6,3,0,0,0.9563922909936389,-4.409955500550893,20.362393731111144
7,3,0,0,-2.121448964600079,2.817734794614011,12.440175082181211
8,3,0,0,1.3676499351127591,3.756468708147644,15.981523500306364
9,3,0,0,-3.7670601846486953,-3.4435726465236924,26.04893500665165
0,4,0,0,-3.4770701897061134,4.818965725097053,35.31244776380307
1,4,0,0,3.6865492806367017,1.7465608613268149,16.641120440881647
2,4,0,0,-1.6374874846575067,-3.6646977571930948,16.111374913986065
3,4,0,0,1.7140436108068529,-0.22468614648941737,2.9884293641720583
4,4,0,0,3.209281466646702,0.5846587482161407,10.64131338402767
5,4,0,0,-4.4323939872184654,4.421055079981202,39.191844478158
6,4,0,0,1.260208742746898,-4.016210166252317,17.718070174804183
7,4,0,0,-2.131782175808948,2.7209010962454454,11.947798020646399
8,4,0,0,1.114835094992582,3.593008515476626,14.152567481314668
9,4,0,0,-3.7775000850491014,-3.4073922528166714,25.87982885710104
0,0,1,0,1.6058457986496142,-0.38318428348181577,2.7255709241480894
1,0,1,0,3.0032441605715947,0.14511752949292162,9.04053458537351
2,0,1,0,-2.1393641652235167,2.7689819014986465,12.244139802269576
3,0,1,0,1.1078369689504581,3.4509711809183914,13.136504841302616
4,0,1,0,3.5603935149550896,1.6782505668156258,15.492926946351227
5,0,1,0,3.417754797019255,-0.5538146835930609,11.98775855631141
6,0,1,0,5.90043646220999,0.4608167173603801,35.027502491575945
7,0,1,0,-4.158171618433474,5.458333032672206,47.08379070390622
8,0,1,0,2.1359846082133993,6.966586931289347,53.09576371773608
9,0,1,0,7.148256233117195,3.452722483007987,63.01885971896767
0,1,1,0,1.198266376264826,-0.6175761313539404,1.817242586504937
1,1,1,0,2.944220522681877,0.06439448340158871,8.672581135673703
2,1,1,0,-1.9570923184348286,2.816311945638372,11.761823318022003
3,1,1,0,1.473879833153466,3.1662741151594527,12.197613534905264
4,1,1,0,3.3900876369207067,1.382747296194297,13.40468427113526
5,1,1,0,3.4145996218823247,-0.5520035365353078,11.9641984821064
6,1,1,0,6.045148911471581,0.402823347689753,36.70609201131002
7,1,1,0,-4.1592974410452825,5.580405674935403,48.44068269993709
8,1,1,0,2.1434742608547155,7.129938956186087,55.430511425886614
9,1,1,0,7.280572814938879,3.5492478841140596,65.60390105651517
0,2,1,0,0.8655031669141247,-0.4610744115835609,0.961685344955506
1,2,1,0,2.7996834818727097,-0.21828299935701806,7.885875066479195
2,2,1,0,-2.0351233385245,2.8599421912672325,12.320996340397526
3,2,1,0,1.474644563159941,3.157802810309092,12.146295176453172
4,2,1,0,3.2442361560089736,1.8097345529404092,13.800207388062304
5,2,1,0,3.3219734840787627,-0.7292105059860212,11.567255790962783
6,2,1,0,6.071951163234793,0.5551239022837728,37.17675347559512
7,2,1,0,-4.033872235525559,5.431130321944913,45.76930178649342
8,2,1,0,2.0399880824264245,6.960252404196199,52.60666490656081
9,2,1,0,7.219099772108961,3.4550626491503693,64.05285942921762
0,3,1,0,0.7272868243689257,-0.603316411157552,0.8929368168726648
1,3,1,0,2.6755189363545484,-0.3530322517037163,7.2830333495347706
2,3,1,0,-1.9398092290519062,2.7570381639068695,11.364119282353913
3,3,1,0,1.4640581458829685,3.198059834652298,12.37105296054256
4,3,1,0,3.2761232191480114,1.6816010322505146,13.560765378706726
5,3,1,0,3.448949511668678,-0.5831781661694088,12.235349507536327
6,3,1,0,6.0915039752910936,0.5199141114413622,37.37673136426306
7,3,1,0,-4.166747153025812,5.471183870996739,47.29563478750356
8,3,1,0,2.0763779518302083,7.1507295940487134,55.44427912605069
